student_id,subject,topic,correct,wrong,minutes_studied,days_since_last_studied,final_exam_score
ETS_001,math,algebra,17,11,37.2,3,53
ETS_001,math,geometry,18,12,59.4,6,53
ETS_001,math,calculus,19,12,39.5,6,53
ETS_001,physics,mechanics,11,8,24.0,18,53
ETS_001,physics,electricity,14,10,43.0,7,53
ETS_001,physics,waves,16,12,47.5,20,53
ETS_001,chemistry,atomic,18,16,42.9,4,53
ETS_001,chemistry,acidsbases,16,14,53.6,0,53
ETS_001,chemistry,reactions,18,16,83.5,8,53
ETS_001,biology,cell,15,14,43.9,5,53
ETS_001,biology,physiology,11,10,38.7,0,53
ETS_001,biology,ecology,12,11,39.3,1,53
ETS_001,english,grammar,7,6,20.9,3,53
ETS_001,english,reading,10,9,36.8,0,53
ETS_001,english,vocabulary,15,12,59.6,14,53
ETS_001,sat,verbal,15,10,40.6,4,53
ETS_001,sat,quantitative,20,14,83.3,9,53
ETS_001,sat,abstract,13,9,34.2,8,53
ETS_002,math,algebra,11,7,28.5,0,59
ETS_002,math,geometry,20,14,84.4,7,59
ETS_002,math,calculus,12,9,33.2,0,59
ETS_002,physics,mechanics,12,16,59.3,6,59
ETS_002,physics,electricity,4,6,19.9,13,59
ETS_002,physics,waves,8,10,43.0,9,59
ETS_002,chemistry,atomic,16,16,51.3,1,59
ETS_002,chemistry,acidsbases,6,6,23.6,1,59
ETS_002,chemistry,reactions,6,6,21.8,0,59
ETS_002,biology,cell,13,10,53.0,6,59
ETS_002,biology,physiology,18,14,70.5,3,59
ETS_002,biology,ecology,10,8,38.2,0,59
ETS_002,english,grammar,7,9,29.1,4,59
ETS_002,english,reading,6,7,30.9,1,59
ETS_002,english,vocabulary,10,12,41.8,1,59
ETS_002,sat,verbal,12,10,28.6,1,59
ETS_002,sat,quantitative,17,14,72.7,4,59
ETS_002,sat,abstract,18,16,45.5,3,59
ETS_003,math,algebra,15,17,75.7,1,51
ETS_003,math,geometry,5,5,15.5,5,51
ETS_003,math,calculus,16,18,77.0,9,51
ETS_003,physics,mechanics,9,9,32.9,5,51
ETS_003,physics,electricity,9,10,31.1,14,51
ETS_003,physics,waves,15,16,46.0,4,51
ETS_003,chemistry,atomic,13,16,48.5,17,51
ETS_003,chemistry,acidsbases,13,16,44.1,5,51
ETS_003,chemistry,reactions,6,6,19.1,1,51
ETS_003,biology,cell,5,6,19.1,0,51
ETS_003,biology,physiology,5,5,20.2,5,51
ETS_003,biology,ecology,15,15,55.1,21,51
ETS_003,english,grammar,14,18,66.4,7,51
ETS_003,english,reading,12,14,55.8,2,51
ETS_003,english,vocabulary,13,16,71.9,2,51
ETS_003,sat,verbal,9,9,29.1,1,51
ETS_003,sat,quantitative,6,6,23.6,5,51
ETS_003,sat,abstract,15,13,59.5,8,51
ETS_004,math,algebra,10,7,23.4,2,58
ETS_004,math,geometry,20,14,50.0,3,58
ETS_004,math,calculus,11,8,29.2,5,58
ETS_004,physics,mechanics,9,16,48.0,3,58
ETS_004,physics,electricity,4,7,27.4,16,58
ETS_004,physics,waves,5,9,33.2,5,58
ETS_004,chemistry,atomic,12,13,57.5,9,58
ETS_004,chemistry,acidsbases,14,17,68.6,5,58
ETS_004,chemistry,reactions,9,11,48.3,7,58
ETS_004,biology,cell,8,9,33.8,0,58
ETS_004,biology,physiology,15,19,70.1,0,58
ETS_004,biology,ecology,10,13,44.0,5,58
ETS_004,english,grammar,5,5,12.2,3,58
ETS_004,english,reading,12,13,54.3,5,58
ETS_004,english,vocabulary,7,9,34.2,1,58
ETS_004,sat,verbal,15,10,33.0,2,58
ETS_004,sat,quantitative,20,12,48.8,4,58
ETS_004,sat,abstract,9,6,25.7,11,58
ETS_005,math,algebra,20,4,44.2,1,72
ETS_005,math,geometry,21,4,39.1,0,72
ETS_005,math,calculus,22,4,32.7,26,72
ETS_005,physics,mechanics,9,6,25.2,0,72
ETS_005,physics,electricity,19,14,53.8,4,72
